user_idx,user_id
0,36604
1,13544
2,38007
3,930
4,1626
5,137727
6,29895
7,171468
8,129961
9,96699
10,161627
11,158926
12,45786
13,19779
14,100453
15,72426
16,181765
17,160410
18,99656
19,115500
20,18873
21,136044
22,50959
23,164655
24,52550
25,14963
26,111
27,82032
28,178304
29,12013
30,62810
31,130395
32,121732
33,125652
34,28271
35,719
36,47616
37,24779
38,23035
39,18179
40,57482
41,52022
42,135864
43,54705
44,23788
45,25414
46,59298
47,30738
48,110717
49,48993
50,114709
51,160531
52,6577
53,234112
54,123387
55,12033
56,62210
57,92692
58,83603
59,171016
60,64472
61,104766
62,61001
63,8380
64,123860
65,87052
66,7557
67,10779
68,4980
69,134889
70,57046
71,177693
72,24837
73,16915
74,30743
75,53765
76,38940
77,45237
78,222236
79,23808
80,186407
81,19356
82,14097
83,19835
84,5813
85,165404
86,132294
87,48678
88,80693
89,17321
90,50287
91,78654
92,37368
93,107685
94,96474
95,157179
96,91030
97,3137
98,15014
99,41671
100,143204
101,1357
102,60648
103,45250
104,166656
105,95683
106,56306
107,4253
108,71451
109,120440
110,52853
111,38952
112,18926
113,119051
114,113410
115,195
116,79805
117,52589
118,218970
119,151350
120,12100
121,137894
122,202078
123,104451
124,9664
125,70413
126,4034
127,137597
128,29970
129,5834
130,63367
131,49695
132,119718
133,14137
134,97480
135,127433
136,121560
137,110435
138,49742
139,88496
140,26726
141,22150
142,63141
143,21247
144,122129
145,128323
146,87958
147,86040
148,116063
149,113541
150,134001
151,87268
152,8804
153,55184
154,11674
155,7667
156,117000
157,192494
158,126374
159,143413
160,77522
161,24378
162,159355
163,8815
164,6699
165,32967
166,50044
167,103259
168,79835
169,103655
170,78198
171,94802
172,24651
173,217978
174,75398
175,154401
176,28841
177,29288
178,61298
179,57942
180,169691
181,202264
182,65270
183,6733
184,241619
185,33131
186,88741
187,4101
188,28857
189,78912
190,15697
191,24860
192,86905
193,125508
194,109441
195,146117
196,34708
197,181521
198,23498
199,42598
200,31665
201,201278
202,139167
203,135236
204,26947
205,28875
206,85727
207,77076
208,185344
209,82224
210,985
211,15429
212,69116
213,199804
214,42607
215,65052
216,80978
217,127453
218,222630
219,42406
220,169724
221,35004
222,223743
223,116754
224,98867
225,136069
226,8887
227,21110
228,68254
229,48397
230,201940
231,59136
232,61761
233,77384
234,179403
235,120463
236,186006
237,41253
238,103534
239,129679
240,33021
241,114232
242,60368
243,8906
244,218138
245,58883
246,159075
247,49783
248,163712
249,141458
250,19993
251,6814
252,152880
253,63433
254,1393
255,76793
256,92861
257,19295
258,9364
259,17055
260,125560
261,92864
262,118567
263,14303
264,65714
265,109373
266,48086
267,107212
268,35311
269,36888
270,19079
271,105798
272,160847
273,114635
274,57133
275,75
276,25599
277,99739
278,197654
279,200168
280,32503
281,62849
282,218848
283,38277
284,75458
285,73374
286,30712
287,141965
288,137686
289,178351
290,43644
291,3727
292,146357
293,25610
294,109624
295,119345
296,128585
297,7846
298,165933
299,10334
300,20994
301,27341
302,77119
303,21850
304,26442
305,125122
306,59794
307,52303
308,125575
309,65908
310,149934
311,18370
312,196324
313,98390
314,139363
315,7880
316,48798
317,149658
318,50826
319,63243
320,15250
321,108074
322,52012
323,1137
324,86960
325,78277
326,10369
327,60048
328,207273
329,132454
330,53379
331,79662
332,187536
333,32200
334,182632
335,66396
336,147673
337,54087
338,15271
339,78758
340,67189
341,92885
342,61834
343,61833
344,141330
345,26495
346,100162
347,147435
348,165939
349,49161
350,34717
351,112518
352,143162
353,184147
354,42474
355,96282
356,90780
357,48827
358,32692
359,32231
360,66902
361,16434
362,180856
363,173915
364,76962
365,185346
366,60073
367,118450
368,4305
369,164624
370,146064
371,23648
372,124152
373,22545
374,199788
375,84919
376,129622
377,35744
378,31417
379,2606
380,126068
381,151333
382,41551
383,48842
384,47829
385,76614
386,38324
387,114446
388,75509
389,46235
390,9051
391,165695
392,65944
393,14443
394,195648
395,31429
396,77157
397,179195
398,143780
399,2640
400,163372
401,216068
402,127041
403,129046
404,52069
405,69607
406,21070
407,91956
408,27785
409,159969
410,61450
411,4342
412,108703
413,163727
414,81533
415,164462
416,50189
417,17771
418,155767
419,137428
420,211712
421,45765
422,145120
423,98420
424,196517
425,95396
426,175687
427,10466
428,65953
429,84958
430,114803
431,126948
432,165342
433,89103
434,157689
435,130879
436,149214
437,96441
438,147689
439,172061
440,154054
441,61625
442,74555
443,90182
444,143857
445,191540
446,83670
447,218506
448,142788
449,172683
450,117479
451,27822
452,24548
453,17175
454,79482
455,88854
456,164319
457,50912
458,71158
459,94528
460,69840
461,224129
462,169886
463,72191
464,174460
465,64914
466,125736
467,43981
468,132058
469,100862
470,204469
471,144396
472,35124
473,7018
474,36995
475,183502
476,2043
477,157397
478,16680
479,117363
480,137355
481,21566
482,86586
483,90204
484,123221
485,86369
486,108259
487,26970
488,15976
489,51346
490,27164
491,114386
492,207098
493,78607
494,271137
495,286073
496,335770
497,304688
498,127942
499,279993
500,378144
501,337968
502,271665
503,308495
504,263447
505,308994
506,292753
507,377824
508,201983
509,269129
510,254264
511,305565
512,253808
513,260970
514,276073
515,322457
516,250949
517,292759
518,270063
519,369246
520,321809
521,258634
522,306609
523,423053
524,391943
525,398486
526,256928
527,294314
528,293905
529,316836
530,396119
531,196187
532,283204
533,284741
534,310428
535,294598
536,240686
537,310067
538,325651
539,323452
540,280072
541,307580
542,370437
543,350753
544,252733
545,302478
546,263545
547,294875
548,302826
549,255030
550,259828
551,299634
552,253213
553,381857
554,277164
555,213068
556,296109
557,344866
558,284759
559,279188
560,309042
561,294211
562,366947
563,288421
564,369683
565,314309
566,150557
567,324372
568,273403
569,322654
570,293936
571,315024
572,297759
573,274981
574,406428
575,252903
576,289536
577,333674
578,344047
579,212280
580,262004
581,246438
582,299313
583,295105
584,268795
585,268429
586,288634
587,312793
588,294218
589,346824
590,273424
591,411133
592,249561
593,304002
594,316125
595,269566
596,260327
597,281608
598,310766
599,408580
600,321050
601,257046
602,423441
603,394350
604,256696
605,374673
606,382396
607,338303
608,327102
609,349088
610,371115
611,331022
612,377233
613,288010
614,390625
615,294710
616,370232
617,329741
618,285948
619,396086
620,258118
621,354112
622,364709
623,318431
624,369747
625,337512
626,254378
627,353247
628,82350
629,290754
630,288455
631,249923
632,306233
633,363075
634,302940
635,290158
636,261758
637,375610
638,269248
639,286360
640,262679
641,296370
642,360307
643,350134
644,123015
645,277575
646,383021
647,254400
648,348051
649,395281
650,268884
651,379514
652,266356
653,210119
654,271825
655,264260
656,304853
657,366388
658,190837
659,274792
660,305623
661,276666
662,308659
663,333210
664,275035
665,272114
666,254427
667,270199
668,306829
669,334078
670,291099
671,244385
672,337885
673,272119
674,384924
675,269809
676,281087
677,283312
678,212860
679,273559
680,325664
681,370212
682,308411
683,318378
684,317762
685,264045
686,272956
687,252643
688,390991
689,251240
690,320735
691,249615
692,341198
693,283319
694,374242
695,304372
696,295937
697,297257
698,313563
699,258498
700,370301
701,265805
702,306267
703,299212
704,273919
705,308090
706,369350
707,275336
708,309801
709,387669
710,299923
711,318027
712,334516
713,272419
714,283568
715,341255
716,334705
717,245855
718,326449
719,251252
720,311357
721,262754
722,254190
723,350785
724,363347
725,341768
726,326255
727,270247
728,299569
729,318869
730,255200
731,330587
732,312191
733,265403
734,255203
735,268225
736,309413
737,248672
738,27337
739,302931
740,374149
741,253769
742,251977
743,310818
744,372995
745,275942
746,357322
747,208743
748,270809
749,322045
750,200931
751,271925
752,257278
753,248683
754,312353
755,296886
756,383387
757,279747
758,353258
759,401428
760,259694
761,386695
762,397177
763,367277
764,353032
765,280959
766,251281
767,297847
768,255559
769,296676
770,317167
771,316562
772,312956
773,607685
774,537348
775,486056
776,513176
777,900282
778,639664
779,485211
780,604312
781,486061
782,479110
783,450516
784,434801
785,735658
786,557075
787,446441
788,469865
789,908890
790,499995
791,617556
792,494974
793,508357
794,772075
795,480288
796,608667
797,896256
798,750463
799,481177
800,597543
801,491152
802,757490
803,837790
804,537044
805,547756
806,725679
807,612305
808,494101
809,561646
810,501762
811,568508
812,547444
813,477081
814,553372
815,434863
816,599002
817,855456
818,560387
819,490294
820,698825
821,628492
822,606151
823,485041
824,523893
825,457362
826,504620
827,520518
828,456201
829,864576
830,439823
831,484706
832,188344
833,509230
834,504628
835,644493
836,686125
837,655144
838,614237
839,458090
840,894082
841,439998
842,459685
843,579739
844,600443
845,557573
846,501793
847,498826
848,625227
849,438330
850,574386
851,719491
852,597032
853,554506
854,561075
855,802614
856,622805
857,819650
858,496859
859,627665
860,515497
861,805707
862,569867
863,460843
864,492215
865,456239
866,616515
867,450630
868,835029
869,694316
870,773146
871,697085
872,777912
873,530211
874,596511
875,786150
876,645931
877,698156
878,833718
879,464608
880,705574
881,735743
882,538808
883,810596
884,603770
885,524778
886,665562
887,711242
888,812712
889,454115
890,701261
891,515317
892,748566
893,463165
894,549455
895,483266
896,488202
897,530225
898,595260
899,821375
900,614040
901,466877
902,662192
903,638678
904,766207
905,626640
906,437307
907,760084
908,508420
909,448349
910,854295
911,872456
912,922556
913,479801
914,553906
915,548547
916,485387
917,460963
918,577294
919,590567
920,889574
921,724499
922,899214
923,781480
924,485400
925,865157
926,598181
927,192377
928,911748
929,775701
930,452465
931,857752
932,693481
933,806203
934,508243
935,851548
936,741293
937,601021
938,595285
939,905872
940,634657
941,259071
942,683003
943,472929
944,584927
945,485412
946,500204
947,646336
948,548584
949,754419
950,500212
951,534386
952,629052
953,502715
954,549557
955,441308
956,468915
957,735929
958,766372
959,703591
960,814491
961,683741
962,467587
963,441328
964,927635
965,441327
966,554598
967,500232
968,636025
969,802837
970,436316
971,442789
972,245644
973,922950
974,585572
975,646051
976,527780
977,631012
978,489765
979,525860
980,455331
981,465484
982,474633
983,593556
984,844183
985,595320
986,450352
987,636468
988,449657
989,551006
990,461007
991,600572
992,706050
993,858081
994,637236
995,444892
996,664813
997,541027
998,441380
999,817945
1000,622274
1001,647998
1002,558972
1003,451226
1004,753726
1005,565925
1006,495113
1007,603843
1008,665936
1009,603845
1010,622296
1011,756999
1012,433846
1013,459924
1014,624739
1015,600552
1016,869423
1017,744694
1018,614061
1019,674450
1020,811795
1021,694187
1022,486379
1023,742799
1024,452683
1025,605166
1026,524094
1027,231780
1028,438695
1029,560443
1030,606647
1031,833392
1032,448534
1033,820866
1034,527548
